edge_type_id target_query source_query delay weight_sigma model_template dynamics_params weight_function distance_range target_sections syn_weight
6580 node_type_id=='471129934' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 6.4237961354e-05
6581 node_type_id=='471143169' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 6.056731579600001e-05
6582 node_type_id=='471758398' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 6.98947330596e-05
6583 node_type_id=='471767045' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 3.96300574088e-05
6584 node_type_id=='485574832' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 4.90700169766e-05
6585 node_type_id=='485835055' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 5.390321749700001e-05
6586 node_type_id=='485880739' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 4.94517182932e-05
6587 node_type_id=='486052980' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 6.227496491100001e-05
6588 node_type_id=='486110216' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 6.49633595184e-05
6589 node_type_id=='487664663' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 6.83715640028e-05
6591 node_type_id=='487661754' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 7.911780950300001e-05
6592 node_type_id=='321708130' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.00058849913963
6594 node_type_id=='471087830' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.00055719392574
6596 node_type_id=='478058328' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.000701797010887
6597 node_type_id=='478828646' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.0005972070176799
6599 node_type_id=='314900022' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 8.10985903604e-06
6602 node_type_id=='348592897' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 3.73082419367e-05
6603 node_type_id=='395830185' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 1.67671048018e-05
6604 node_type_id=='469798159' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 1.3904471628e-05
6605 node_type_id=='476126528' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 1.31280645936e-05
6606 node_type_id=='476218657' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 3.12402608699e-05
6607 node_type_id=='341442651' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.00156923035195
6609 node_type_id=='484635029' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.00139354603091
6610 node_type_id=='488501071' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.00152597608881
6611 node_type_id=='477135941' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 1.04636682529e-05
6612 node_type_id=='483061182' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 3.67934800172e-05
6614 node_type_id=='485909730' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 1.2882924794000003e-05
6615 node_type_id=='486146717' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 2.30426909085e-05
6616 node_type_id=='487601493' location=='LGN' 1.7 nan exp2syn AMPA_ExcToExc.json wmax "[0.0, 150.0]" "['basal', 'apical']" 2.20323910662e-05
6617 node_type_id=='313861608' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.000740588314363
6618 node_type_id=='321023397' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.000771493675081
6620 node_type_id=='333785962' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.000649866595165
6621 node_type_id=='396608557' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.0007970295241519
6622 node_type_id=='469610831' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.000756344211106
6623 node_type_id=='471077857' location=='LGN' 1.7 nan exp2syn AMPA_ExcToInh.json wmax "[0.0, 1e+20]" "['somatic', 'basal']" 0.0014908393687
